step 40054/60000 (66.76%) | K: 2 | loss: 5.751988 | L1: 2.565099 | L2: 3.196616 | lrm: 0.54 | dt: 1975.34ms | tok/sec: 265,416 | bf16_mfu: 62.22 | epoch: 3 pq: 101 rg: 40 | total time: 678.11m | eta: 337.8m
step 40055/60000 (66.76%) | K: 2 | loss: 5.721742 | L1: 2.559233 | L2: 3.171194 | lrm: 0.54 | dt: 1973.12ms | tok/sec: 265,715 | bf16_mfu: 62.29 | epoch: 3 pq: 101 rg: 40 | total time: 678.14m | eta: 337.8m
step 40056/60000 (66.76%) | K: 2 | loss: 5.695441 | L1: 2.556736 | L2: 3.146461 | lrm: 0.54 | dt: 1973.42ms | tok/sec: 265,674 | bf16_mfu: 62.28 | epoch: 3 pq: 101 rg: 40 | total time: 678.18m | eta: 337.8m
step 40057/60000 (66.76%) | K: 2 | loss: 5.672420 | L1: 2.554675 | L2: 3.124677 | lrm: 0.54 | dt: 1974.08ms | tok/sec: 265,585 | bf16_mfu: 62.26 | epoch: 3 pq: 101 rg: 48 | total time: 678.21m | eta: 337.7m
step 40058/60000 (66.76%) | K: 2 | loss: 5.632275 | L1: 2.545143 | L2: 3.093309 | lrm: 0.54 | dt: 1975.36ms | tok/sec: 265,413 | bf16_mfu: 62.22 | epoch: 3 pq: 101 rg: 48 | total time: 678.24m | eta: 337.7m
step 40059/60000 (66.77%) | K: 2 | loss: 5.629493 | L1: 2.551139 | L2: 3.083895 | lrm: 0.54 | dt: 1975.30ms | tok/sec: 265,421 | bf16_mfu: 62.22 | epoch: 3 pq: 101 rg: 48 | total time: 678.28m | eta: 337.7m
step 40060/60000 (66.77%) | K: 2 | loss: 5.608539 | L1: 2.549961 | L2: 3.063533 | lrm: 0.54 | dt: 1975.63ms | tok/sec: 265,377 | bf16_mfu: 62.21 | epoch: 3 pq: 101 rg: 48 | total time: 678.31m | eta: 337.7m
step 40061/60000 (66.77%) | K: 2 | loss: 5.605852 | L1: 2.557037 | L2: 3.053260 | lrm: 0.54 | dt: 1978.17ms | tok/sec: 265,036 | bf16_mfu: 62.13 | epoch: 3 pq: 101 rg: 48 | total time: 678.34m | eta: 337.7m
step 40062/60000 (66.77%) | K: 2 | loss: 5.580318 | L1: 2.552079 | L2: 3.032211 | lrm: 0.54 | dt: 1976.80ms | tok/sec: 265,220 | bf16_mfu: 62.17 | epoch: 3 pq: 101 rg: 48 | total time: 678.38m | eta: 337.7m
step 40063/60000 (66.77%) | K: 2 | loss: 5.555769 | L1: 2.547542 | L2: 3.011778 | lrm: 0.54 | dt: 1975.13ms | tok/sec: 265,444 | bf16_mfu: 62.22 | epoch: 3 pq: 101 rg: 48 | total time: 678.41m | eta: 337.7m
